video_id,title,published,views,tags
yxelVXcWgiQ,Who Wins Election 2024?:  What the polls say | The Big Stories,2024-11-25T09:41:39Z,53780,Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|Joy News|Latest News|HomePage|Ghana|Current Affairs|Business|Election 2024
0xTeJ4zLHYc,Top Story: US Announces Visa Restrictions for Democracy Underminers in Ghana Ahead of Election 2024,2024-10-28T21:40:31Z,53171,US visa restrictions|Ghana democracy|election 2024|Ghana presidential elections|parliamentary elections|democracy undermining|visa sanctions|US Department of State|Ghanaian elections|peaceful transfer of power|electoral process|Immigration and Nationality Act|Section 212(a)(3)(C)|democracy support|Ghana news|African elections|international relations|US-Ghana relations.|Top Story
jl6DcCVJl1Y,LIVE UPDATES On Election 2024: NPP Dr Bawumia vs NDC John Mahama,2024-12-07T18:15:04Z,53045,Gossips24|Gossips24 TV|Gossips24.com|#YawaofTheDay|dr likee tv|akabenezer|dr likee ras nene|ras nene videos|akrobeto|kwadwo nkansah lilwin|utvghana|mcbrown kitchen|delay show|delay tv|delay ghana|nana ama mcbrown|mcbrown tv|lilwin tv|kwaku manu tv|kwaku manu aggressive|agya koo|Obinim|Rev Obofour|Stonebwoy|GhPage|Ghana news|Ghana celebs|Ghana celebrity|Ghana gossip|NDC|NPP|Kennedy Agyapong|Sarkodie|Shatta Wale|Emelia Brobbey|Akrobeto|UTV
1E7AmiPdnk8,#GhanaDecides2024: Post-election reflections,2024-12-13T12:25:21Z,52055,
ussWIjXNT3E,Election 2024: NAPO's verbal slip #ElectionHQ,2024-11-22T14:27:30Z,49495,Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|Joy News|Latest News|HomePage|Ghana|Current Affairs|Election 2024|NDC|NAPO|Bawumia|Mahama|Opoku Prempeh|Akufo Addo
HekllxL_qIc,Ghana Elections: Lessons For Nigeria- Dayo Sobowale,2024-12-09T18:16:33Z,47340,Arise|News
bdtjsAYzCSU,"Election 2024: It’s No.1 for NPP, No.8 for NDC on ballot paper",2024-09-20T18:51:51Z,46231,Political Issues|Ghana Politics|Matters Arising in Ghana|NPP Ghana|CPP|NDC|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|Headlines|News in Ghana
r9cScQPHYhs,Final Declaration of Election 2024 Presidential Results || 9th December 2024 #Election2024,2024-12-09T18:38:45Z,46226,Ghana|#GBCGHANAONLINE
OUzeFRL6Yuw,#GhanaDecides2024: Post-election reflections,2024-12-12T18:31:26Z,45288,
C94CgmgkAk4,WINNER OF Election 2024: NPP Dr Bawumia vs NDC John Mahama,2024-12-08T14:09:12Z,45086,Gossips24|Gossips24 TV|Gossips24.com|#YawaofTheDay|dr likee tv|akabenezer|dr likee ras nene|ras nene videos|akrobeto|kwadwo nkansah lilwin|utvghana|mcbrown kitchen|delay show|delay tv|delay ghana|nana ama mcbrown|mcbrown tv|lilwin tv|kwaku manu tv|kwaku manu aggressive|agya koo|Obinim|Rev Obofour|Stonebwoy|GhPage|Ghana news|Ghana celebs|Ghana celebrity|Ghana gossip|NDC|NPP|Kennedy Agyapong|Sarkodie|Shatta Wale|Emelia Brobbey|Akrobeto|UTV
K94Vw3L0OAU,BBC on the streets of Ghana following elections - BBC Africa,2024-12-08T16:34:55Z,44266,BBC|Africa|bbc africa|bbc news|africa news|bbc africa news|ghana elections 2024|ghana elections 2024 live stream|ghana elections results|ghana elections live|ghana elections update|ghana elections live now|ghana elections results 2024|ghana elections 2024 live|ghana news|Ghana election celebrations|Ghana election John Muhama|ghana election live|John Muhama|Ghana elections opposition|Ghana election opposition
b1K2v-m4Sso,LIVE: ELECTORAL COMMISSION TO DECLARE FINAL RESULTS OF 2024 GENERAL ELECTIONS,2024-12-09T18:50:11Z,44265,Ghana vs Brazil ||Head Coach Otoo Addo and Captain Andrew Ayew Pre-Match Press Conference
oGyMs6wmq8A,Ghana's former president Mahama wins election,2024-12-08T16:36:38Z,41930,SABC News|actuality|world news|local news
pIgUdrtxL5A,#GhanaDecides2024: Post-election reflections,2024-12-14T00:30:36Z,41739,
ccf1cyofojo,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-07T13:44:31Z,41489,NDC|NPP|net2tvgh|politics in ghana|kennedy agyapong|kencity|president of ghana|elections in ghana|the watchman|trending in ghana|john mahama|nana akufo-addo|1ontrending|ghana
UNH4HWKbFdo,#GhanaDecides2024: Post-election reflections,2024-12-12T12:17:26Z,41403,
mBZrNAW8gnI,Election 2024: Egyapa Mercer and Andy Appiah Kubi lose their seats to the NDC,2024-12-08T05:53:03Z,41341,NPP|NDC|Election 2024|Election Headquarters
WqmjtCQRGO4,LIVE NOW!! Parliament Reconvenes after 2024 General Elections | #GhanaPolls2024,2024-12-16T15:16:21Z,41284,
NeT_Qfx8aDQ,Election 2024 || 7th December 2024 (Cont.),2024-12-08T07:46:31Z,40429,Ghana|#GBCGHANAONLINE
2BsURURMIvs,#GhanaDecides2024: Post-election reflections,2024-12-12T00:05:15Z,39964,
CJC2GPltOIs,#GhanaPolls2024  | Channel One TV's Comprehensive Coverage of the 2024 Elections | #ElectionBureau,2024-12-09T21:32:00Z,39747,CitiTube|CitiTube Ghana|Citi TV|Citi TV Ghana|Citi TV Live|Ghana|Ghana News|Face to Face|2020 NDC manifesto|Nana Oye Bampoe Addo
ipXadIkiOPM,Breaking‼️Ghana 2024 Elections Winner Revealed || Uebert Angel || Owusu Bempah || Kusi Boateng,2024-08-05T04:31:00Z,37999,Uebert Angel ghana prophecy|Owusu bempah ghana prophecy|ghana elections 2024 prophecy|kusi boateng 2024 ghana elections|mahama Uebert Angel|bawumia uebert angel|fyppp|Uebert Angel latest|prophecy|bushiri|mboro church on fire|mboro bushiri|fyyyypp
uzBoVyTBusc,Ghana's Election Countdown: Rallies and Promises | Election HQ (5-11-24),2024-12-06T00:38:33Z,37536,Ghana's Election Countdown: Rallies and Promises | Election HQ (5-11-24)|Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|Chieftaincy|Ghanaian lawyers|Economy|YouTube|Joy News|Latest News|HomePage|Ghana|Current Affairs|Ghana International News|joy News|Illegal Mining|Mining|Akufo Addo|Wontumi|Illegal Miners|Locals|Rivers|Land|Pra|Densu|pm express|leonard sasmtos simao|election 2024
zTUSm3AZh0M,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-07T20:50:12Z,36322,Ghana vs Brazil ||Head Coach Otoo Addo and Captain Andrew Ayew Pre-Match Press Conference
197OQDhSGBg,John Mahama and Ato Forson for election 2024 #shorts1💯💝🇬🇭👌🤴🙏👑🤣🎓🎺🎵☝️,2024-12-02T02:50:42Z,33020,
VMeKhjMOgIw,"LIVE STREAM: FINAL  PRESIDENTIAL RESULTS DECLARATION | 9th December, 2024",2024-12-09T20:22:04Z,32929,#GHOneNews|#GHOne TV|Ghana News|Trending
1EBdinkTZI0,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-08T02:16:35Z,32436,NDC|NPP|net2tvgh|politics in ghana|kennedy agyapong|kencity|president of ghana|elections in ghana|the watchman|trending in ghana|john mahama|nana akufo-addo|1ontrending|ghana
5Wckay5ggTY,Ghana Decides 2024: Special Live Coverage | Election Reference Center,2024-12-07T17:20:03Z,32388,NDC|NPP|net2tvgh|politics in ghana|kennedy agyapong|kencity|president of ghana|elections in ghana|the watchman|trending in ghana|john mahama|nana akufo-addo|1ontrending|ghana
l3e0D44ukAI,#FlowYourMind: Ghanaians React to John Mahama winning the 2024 elections,2024-12-08T20:43:45Z,32204,TV3|TV3 Ghana|Media General|TV3 News|Tv3 Midday News|News360|Ghana News on TV3|3News|Onua TV|3FM|3News Online|Date Rush|GMB|Ghana's Most Beautiful|Perfect Match Xtra|PMX|Perfect Match|TheDayShow|ShowBiz360|TheDayShow With Berla Mundi|TV3TalentedKidz
kxfKU149Lxk,LIVE: Election 2024,2024-12-08T00:06:30Z,31179,BizTech|Nkomma Woho|GhanWeb|GhanaWeb TV|ghana|election|ghanaelection|npp|ndc|newforce
UFayiUVsgE8,Élections au Ghana : John Dramani Mahama remporte la présidentielle,2024-12-08T11:35:16Z,31004,news|Ghana|John Dramani Mahama|Résultats d'élections
9ieaat7-XyU,LIVE: John Mahama Addresses Ghanaians Following Election Victory,2024-12-09T21:11:48Z,30949,BizTech|Nkomma Woho|GhanWeb|GhanaWeb TV|ghana|election|ghanaelection|npp|ndc|newforce
UWjtPYnkBGA,NDC John Mahama winning election 2024 to reset Ghana 🇬🇭 #shorts💯🙏👌💝🤣🤴☝️💸🎓,2024-11-29T04:26:41Z,30587,
Wevl_flGRGY,Ghana's 2024 succession politics | World of Africa,2023-11-07T16:02:31Z,30340,new patriotic party|ghana's most beautiful|political party (fictional organization type)|ghana freedom party|matters arising in ghana|ghana politics|election ghana|national security|ghana election results|ghana political issues|public finance|#electionpetitionghana|ghana elections|elections ghana|african politics|ghana latest news|ghana opposition|#gbcghanaonline|national democratic congress|ghana election 2020|politics of insults
ho0uKCqBpyM,LIVE: Election 2024 - Day 2,2024-12-08T09:36:31Z,30020,BizTech|Nkomma Woho|GhanWeb|GhanaWeb TV|ghana|election|ghanaelection|npp|ndc|newforce
J2-_TXrEbEs,UPfront | Election 2024: Analyzing the NDC's victory and emerging issues - Joy News (18-12-24),2024-12-18T22:29:25Z,29779,Political Issues|Ghana Politics|Matters Arising in Ghana|NPP Ghana|CPP|NDC|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|Headlines|News in Ghana|Upfront|Politics|UPfront | Election 2024: Analyzing the NDC's victory and emerging issues - Joy News (18-12-24)|Joy News (18-12-24)
8MrMHBNNqE4,Ghana election: BBC reporter at scene of gunshot incident - BBC Africa,2024-12-07T20:18:49Z,29458,BBC|Africa|bbc africa|bbc news|africa news|bbc africa news|Ghana election|Ghana elections|Ghana election 2024|Ghana election 2024 incident|Ghana election 2024 gunshot|Ghana election 2024 Tamale gunshot|Ghana polling station Tamale 2024|Ghana election 2024 update|Ghana election shooting incident|Ghana election 2024 shooting|Ghana election violence
G5bIpxGQXho,Elections 2024: Bawumia congratulates John Mahama - End of road for NPP thugs🔥,2024-12-08T12:50:51Z,29311,Kevin Taylor|Ghana news|Mahamudu Bawumia|John Mahama|Ghana politics|Freemind Family Ghana
7UlpbZ5_x3A,Fake Prophets prediction of Elections | Funny collection of Ghana's election 2024,2024-12-09T17:34:09Z,28672,
jwOHVxy75nw,RESULT of Ghana 2024 General Election. Presidential & Parliamentary. Who Wins #BAWUMIA or #MAHAMA,2024-12-08T00:17:30Z,28333,ADOM TV|KOFI TV|RTV GHANA|ONE GHANA|ONE VISION|GHANA WEB|GHANA TUBE|MyJoyOnline TV|DELAY TV|mega ghnews|BOBOGYA|Smart Ghana Update|Ghpage|manasseh world changer|utv showbiz|agradaa|agradaa latest news|smart tv|coconut rice|a-plus tv|star plus tv|nana agradaa|rev obofour|yaabasabasa|agradaa latest video|auntie naa|odo nti|ghana gospel music|oyerepa afutuo|Ahintasem tv|npp|ndc|ghana election 2024|rev owusu bempah prophecy|naana brown
ZUTUk4apnPs,What's in the NPP 2024 election defeat report? || Newsfile,2025-04-19T14:10:04Z,27654,NPP 2024 election defeat report|Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|Joy News|Latest News|HomePage|Akosombo Floods|Ghana|Current Affairs|Akosombo Dam Spillage|Ghana Economic News|Ghana International News
rWFVGusIYVw,Election 2024: Some lecturers from UG take to the streets to campaign for John Mahama,2024-09-25T14:47:22Z,27510,Political Issues|Ghana Politics|Matters Arising in Ghana|NPP Ghana|CPP|NDC|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|Headlines|News in Ghana
dFcUXy3SY5w,Breaking‼️Prophet Kusi Boateng’s Latest Comment On Ghana Elections Prophecy 😳,2024-09-29T05:31:12Z,27062,
FxNp1w1adqs,Election 2024: Collation of result is not an exercise in secrecy  - NDC,2024-12-08T00:02:57Z,26633,NPP|NDC|Election 2024|Election Headquarters
kFP8t6HA6BI,2024 Ghana Elections: NDC Protests Results in Weija Gbawe,2024-12-12T20:24:12Z,26215,Channel1News|ChannelOne TV|GhanaNews|Ghana|News
uG0QbvCuaIk,Election 2024: EC destroys over 3 million ballot papers in Eastern Region,2024-12-03T13:11:07Z,25980,Ghana Political Issues|Ghana Politics|Matters Arising in Ghana|NPP|CPP|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|NDC|By election|Trends GH|Politicians|Politics
oIj-1NFKlFI,Elections 2024: Kevin Taylor declares Mahama win - Captain Smart mock Cheddar - 3rd Force Yaamutu,2024-12-08T08:28:42Z,25917,Nana Kwame Bediako|Kevin Taylor|John Mahama|Jean Mensah|Ghana news|Ghana videos|Ghana|Captain Smart|Captain Smart latest video|Kevin Taylor latest video
DXRePZ4Xt1U,Ajagurajah on who will win the 2024 election,2024-02-13T16:33:24Z,25905,#GHOneNews|#GHOne TV|Ghana News|Trending|Ghana|News
JOdI2-8wxgk,Election 2024: John Mahama will know no peace from me until he signs anti-LGBTQ+ bill - Sam George,2024-12-07T15:06:29Z,25486,
6fjGXj1-rqE,"Ghana 2024 Elections: NDC John Mahama Exposes NPP, Nana Addo and Bawumia's Broken Promises #shorts",2024-07-25T08:15:30Z,24065,
vVuktk724MY,"Election 2024: NDC flagbearer, John Mahama casts his ballot",2024-12-07T12:12:30Z,23233,Political Issues|Ghana Politics|Matters Arising in Ghana|NPP Ghana|CPP|NDC|PPP|National Budget|Chieftaincy|Ghanaian lawyers|Economy|Constitution|Election|Campaign|YouTube|joy News|Latest News|Headlines|News in Ghana|#ElectionHQ|Election 2024|Ghana|Bawumia|John Mahama|Akufo-Addo
SJWvBmBf3cE,How Ghanaians Feel Ahead of the 2024 Elections | National Opinion Poll #Citiuation Room,2024-10-04T11:04:35Z,23087,Channel1News|ChannelOne TV|GhanaNews|Ghana|News
BMcGTNOHcuY,Prophet Eric prophecy write it down: The person to win Ghana 2024 Elections has been there before.,2022-06-15T16:33:18Z,23023,
IPb2R1LMFdU,Elections 2024: Prince David Osei indirectly confirms NPP has lost - A man voted with Hardcore anger,2024-12-08T01:12:28Z,22866,Prince David Osei|Ghana news|Ghana videos|Ghana|John Mahama|NDC Ghana|NPP Ghana|Latest on Ghana elections 2024|Ghana elections 2024|Mahamudu Bawumia
